,WorkerID,CommitNumber,T0,T1,deltaT,Complexity
0,1,7ce282bda2252a9ada2ef283d0bf4f3ca0116b7c,15.111552891340784,15.639001775224747,0.527448883883963,372
1,2,f95bc75df34b34d0348ef40bac49a714c8b6cd39,15.356451125889253,15.858999820581229,0.5025486946919759,359
2,1,f07ec1abcb302184cb72db16e8363eaa13e87011,15.642060281789579,15.928858998726565,0.28679871693698544,372
3,2,86433af96f8f745a312684650d5935a5077999d7,15.862024047950031,16.26476886340397,0.4027448154539375,372
4,1,9a9d5042d33f891c6e403c65fd579966fbf6f42f,15.932810587749636,16.31809598758364,0.3852853998340038,372
5,2,0144b5d8228c0418a1773757e2a13452b985f4f0,16.282108301837802,16.646473545942147,0.364365244104345,372
6,1,879962068a53f2891af069d72d75ff30f386a13e,16.323000100649555,16.624023954593923,0.30102385394436837,359
7,1,1eb6d50139b2aba63cd39494cf49540c8315ba78,16.628143657546456,16.89086014525627,0.26271648770981315,359
8,2,4d70310cebd8e6d8874283562ac78a5df67be998,16.64951527758126,16.91748705778014,0.2679717801988808,359
9,1,0ba1f19879c5c14dbe5c24f590b0c39b5f5ce204,16.894046287125462,17.178652958878093,0.28460667175263055,359
10,2,d8aeee9dd83e6f257dec2f1ef449f2bebfb5d316,16.920871216707244,17.196420157917693,0.2755489412104488,359
11,1,c809699575ab32def8ed4e278a544a01a2f88dc6,17.18165384721981,17.414605417279923,0.2329515700601128,359
12,2,e9951a06e885be92a3c739d3c307581c484e4b95,17.19964531972279,17.420025176975468,0.22037985725267717,359
13,1,64e225cdc88fa7781ac8837f8a5ccd1d54d79e06,17.41786376426416,17.680976286089795,0.2631125218256365,359
14,2,8dc373070910bb3cf09b830e35dec30556275923,17.423007831702275,17.68332076429479,0.260312932592516,359
15,1,27de3ffd225223213cd1a6bd2cae245ce02e52ee,17.68428969859105,17.940915429576673,0.2566257309856219,359
16,2,b4fa1a5856c7eb2f84f9d406d4523d8f456d2395,17.687123567020205,17.94123269447609,0.25410912745588377,359
17,1,c8410bfece80602df74eb89f217c8c414dc5292d,17.944504899007654,18.190333777261078,0.24582887825342326,359
18,2,a2b4006abd3cbc9d7b000700fb1c2cc6af94e26d,17.944906038535652,18.21286943127167,0.2679633927360179,359
19,1,c7bbd107a529b914716551652d1ed7df7d11bff2,18.19428354292266,18.463833989500355,0.26955044657769633,359
20,2,9f5a1dd9e2ddf612ec4e8feca88b062986fec898,18.21685201744009,18.45456912509281,0.23771710765272047,359
21,2,f40f8690f9a56ddaa7a2e510a4caa9d8a59d5fd9,18.458780360792186,18.735626806039555,0.2768464452473687,359
22,1,cebb9974ebdfa238c70e8acb401324aad78e11c0,18.467663048631238,18.746670177245324,0.2790071286140865,359
23,2,169e33646e1523f37cc9877820d946d0bd3c274f,18.73875897640862,18.983287068574437,0.24452809216581883,359
24,1,93aee2629a4bdf141f05cb96b52d1b7454f47597,18.74993399431403,18.97156103082648,0.22162703651244797,359
25,1,4d46f4ba2eda0ff5289ed6642c13fe25e6a48bdf,18.974702318002997,19.213176850019035,0.2384745320160384,359
26,2,6b7080d9508f8332268e2a2eb36f839973e25a02,18.98678536993087,19.22936465333522,0.24257928340434987,360
27,1,b76749162eda3e4674129796a00c8c7b26c724f1,19.216938444774758,19.473491970645338,0.25655352587057934,359
28,2,931af5e0a69499693cf15a71b96df51b8b106c92,19.232675513130392,19.49174345449692,0.2590679413665278,359
29,1,3b7f77ffec1ef255acf0eb94c6b4a0468bc3cae8,19.47629557127374,19.739516765444236,0.2632211941704945,352
30,2,04ab93d2742ff6a48d47b91166f9bc4f01ff6bf9,19.495359545005666,19.73043642521957,0.23507688021390294,352
31,2,9c247101dbc57304315f64f64232d194486cf956,19.73347122808502,19.98915136380146,0.25568013571644244,360
32,1,67dbf7880d4064f48a0cbbca1809ee05c5761ee5,19.742452377444582,19.981713507607793,0.23926113016321082,360
33,1,e429c4108122309d412bc7082311819b0faa93e2,19.985038589622594,20.288303354839275,0.30326476521668155,360
34,2,f1c5948cf8381c368fb9bd9e192844028017ed37,19.99292280470923,20.28927010110175,0.29634729639251844,360
35,1,1faf5f3bb0b81625e6e0a5042b79230469b96231,20.291606556516182,20.604567593469156,0.3129610369529736,360
36,2,8b7613080f21744a8980bb2b070524a1d8f19a51,20.292269530754275,20.59512039291252,0.30285086215824464,360
37,2,d71d93ae252da5f32c24555ee35a5609570a57be,20.598027560473607,20.855156174558417,0.25712861408480947,360
38,1,78811ff32122a7f3fd82c13fecabd2cfc85bbc45,20.609021336246823,20.856576573159828,0.24755523691300496,360
39,2,a76665a6828e04c9d430ca2ab0ffccdc4fae56d3,20.858930897516874,21.104018761660395,0.24508786414352102,360
40,1,dfce4b46159d3144fc7991976a4ae10498fd31ba,20.85976052699523,21.10226541725075,0.24250489025551758,360
41,1,49f04200df7b1b8fc3ab2e22896a85d182093914,21.10592344507379,21.35834268109991,0.25241923602612104,360
42,2,d293817cea2a925dcd23457590fd4a488cfdb39e,21.107842350706807,21.366749106917542,0.25890675621073456,360
43,1,a616385fc253e550bece430a1e61c84abf274476,21.361918657655856,21.650174969768667,0.2882563121128108,360
44,2,79ff32edb103d454787482ab31628ee6b5ff9cfc,21.36977406363094,21.737261267279997,0.36748720364905907,355
45,1,e4e30dd7aa7a605b55aafd73f5f7e07170d31c14,21.652963618832846,21.897259050072424,0.24429543123957842,360
46,2,129cb8eda2ced9245c1b4ab47afc60d250eaf8cf,21.74085474810626,22.256956853432367,0.5161021053261088,665
